IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
13.212.218.15,443,true,SIN,Asia Pacific,Singapore,225 ms,9395 kB/s
13.212.181.29,443,true,SIN,Asia Pacific,Singapore,225 ms,9336 kB/s
13.212.202.121,443,true,SIN,Asia Pacific,Singapore,220 ms,9096 kB/s
13.212.80.199,443,true,SIN,Asia Pacific,Singapore,222 ms,9027 kB/s
13.212.188.71,443,true,SIN,Asia Pacific,Singapore,225 ms,8867 kB/s
13.212.89.192,443,true,SIN,Asia Pacific,Singapore,221 ms,8855 kB/s
13.212.31.134,443,true,SIN,Asia Pacific,Singapore,225 ms,8848 kB/s
13.212.197.141,443,true,SIN,Asia Pacific,Singapore,221 ms,8815 kB/s
13.212.1.196,443,true,SIN,Asia Pacific,Singapore,220 ms,8804 kB/s
13.212.54.178,443,true,SIN,Asia Pacific,Singapore,221 ms,8799 kB/s
13.212.201.145,443,true,SIN,Asia Pacific,Singapore,220 ms,8717 kB/s
13.212.33.11,443,true,SIN,Asia Pacific,Singapore,230 ms,8668 kB/s
13.212.139.90,443,true,SIN,Asia Pacific,Singapore,220 ms,8654 kB/s
13.212.92.145,443,true,SIN,Asia Pacific,Singapore,221 ms,8640 kB/s
13.212.110.224,443,true,SIN,Asia Pacific,Singapore,220 ms,8622 kB/s
13.212.250.3,443,true,SIN,Asia Pacific,Singapore,221 ms,8621 kB/s
13.212.196.169,443,true,SIN,Asia Pacific,Singapore,220 ms,8616 kB/s
13.212.34.39,443,true,SIN,Asia Pacific,Singapore,221 ms,8609 kB/s
13.212.100.241,443,true,SIN,Asia Pacific,Singapore,221 ms,8597 kB/s
13.212.195.120,443,true,SIN,Asia Pacific,Singapore,226 ms,8590 kB/s
13.212.207.38,443,true,SIN,Asia Pacific,Singapore,220 ms,8588 kB/s
13.212.139.79,443,true,SIN,Asia Pacific,Singapore,220 ms,8580 kB/s
13.212.6.168,443,true,SIN,Asia Pacific,Singapore,221 ms,8540 kB/s
13.212.38.252,443,true,SIN,Asia Pacific,Singapore,221 ms,8536 kB/s
13.212.11.187,443,true,SIN,Asia Pacific,Singapore,226 ms,8492 kB/s
13.212.31.85,443,true,SIN,Asia Pacific,Singapore,225 ms,8474 kB/s
13.212.103.178,443,true,SIN,Asia Pacific,Singapore,225 ms,8470 kB/s
13.212.220.169,443,true,SIN,Asia Pacific,Singapore,225 ms,8465 kB/s
13.212.194.194,443,true,SIN,Asia Pacific,Singapore,220 ms,8460 kB/s
13.212.194.227,443,true,SIN,Asia Pacific,Singapore,220 ms,8458 kB/s
13.212.232.131,443,true,SIN,Asia Pacific,Singapore,224 ms,8415 kB/s
13.212.190.209,443,true,SIN,Asia Pacific,Singapore,220 ms,8405 kB/s
13.212.84.198,443,true,SIN,Asia Pacific,Singapore,219 ms,8398 kB/s
13.212.177.88,443,true,SIN,Asia Pacific,Singapore,226 ms,8378 kB/s
13.212.137.38,443,true,SIN,Asia Pacific,Singapore,220 ms,8362 kB/s
13.212.234.162,443,true,SIN,Asia Pacific,Singapore,220 ms,8345 kB/s
13.212.141.160,443,true,SIN,Asia Pacific,Singapore,219 ms,8335 kB/s
13.212.14.224,443,true,SIN,Asia Pacific,Singapore,225 ms,8329 kB/s
13.212.71.181,443,true,SIN,Asia Pacific,Singapore,221 ms,8301 kB/s
13.212.137.91,443,true,SIN,Asia Pacific,Singapore,220 ms,8291 kB/s
13.212.250.88,443,true,SIN,Asia Pacific,Singapore,220 ms,8257 kB/s
13.212.49.133,443,true,SIN,Asia Pacific,Singapore,225 ms,8221 kB/s
13.212.90.218,443,true,SIN,Asia Pacific,Singapore,221 ms,8181 kB/s
13.212.143.56,443,true,SIN,Asia Pacific,Singapore,225 ms,8168 kB/s
13.212.99.232,443,true,SIN,Asia Pacific,Singapore,226 ms,8019 kB/s
13.212.182.8,443,true,SIN,Asia Pacific,Singapore,224 ms,7981 kB/s
13.212.253.197,443,true,SIN,Asia Pacific,Singapore,225 ms,7978 kB/s
13.212.152.93,443,true,SIN,Asia Pacific,Singapore,220 ms,7929 kB/s
13.212.173.157,443,true,SIN,Asia Pacific,Singapore,220 ms,7893 kB/s
13.212.82.58,443,true,SIN,Asia Pacific,Singapore,221 ms,7846 kB/s
13.212.25.242,443,true,SIN,Asia Pacific,Singapore,221 ms,7835 kB/s
13.212.50.94,443,true,SIN,Asia Pacific,Singapore,220 ms,7813 kB/s
13.212.77.29,443,true,SIN,Asia Pacific,Singapore,226 ms,7797 kB/s
13.212.211.163,443,true,SIN,Asia Pacific,Singapore,225 ms,7783 kB/s
13.212.79.126,443,true,SIN,Asia Pacific,Singapore,220 ms,7764 kB/s
13.212.189.174,443,true,SIN,Asia Pacific,Singapore,220 ms,7741 kB/s
13.212.37.240,443,true,SIN,Asia Pacific,Singapore,219 ms,7737 kB/s
13.212.241.113,443,true,SIN,Asia Pacific,Singapore,225 ms,7670 kB/s
13.212.173.248,443,true,SIN,Asia Pacific,Singapore,220 ms,710 kB/s
13.212.103.104,443,true,SIN,Asia Pacific,Singapore,224 ms,294 kB/s
13.212.12.97,443,true,SIN,Asia Pacific,Singapore,220 ms,54 kB/s
